table_id,table_class
26abc4ba-e65a-4db6-89d8-300968eb7028,BIGRID
b77b01cb-2e25-4afd-b9ad-06785ee1758e,BIGRID
cbeacfad-4b53-4671-86e5-b2e16caf61e4,BIGRID
dcc6672f-c413-4788-9eca-f7ba65fb2e0e,BIGRID
022c82f6-7ae2-4a94-be42-7ba00d1024fe,BIGRID
36d7898a-6abc-4ac7-88e1-b1d5c071316c,BIGRID
c4d775be-8476-4b0c-b8c6-45a171ced84d,BIGRID
fcac87c3-417d-4067-b325-622092e12624,BIGRID
081cc127-b22f-4cdf-81e4-95c0ca1ea2e9,BIGRID
3d3958a3-5a80-4fa1-ba76-36bf164d794f,BIGRID
c48f9391-78fa-48b3-b4a2-f9aa7263de4b,BIGRID
d9fb6544-55b3-4336-a092-9225f835af2f,BIGRID
8185e823-d367-4b38-a9bc-01d375cccc33,BIGRID
87d7cbc1-6460-4b8d-ac0e-747222f62ee5,BIGRID
8e26784c-7a5d-428d-a9d9-3113f332e178,BIGRID
3c4e56aa-9121-4350-afea-835811232d2a,BIGRID
47202eb4-1289-4624-8b79-98ef5b5e8131,BIGRID
7ab1fee2-dc2f-4a69-9e3e-6027f4024c00,BIGRID
2eba495e-eab3-48a0-9a46-0ea6863da11a,BIGRID
b28f7675-4485-4f73-a33e-776e91b1aa04,BIGRID
5c6bd649-17c3-4858-a338-0030407e63ec,BIGRID
de4faa45-6942-446b-9ae0-fdb8bd929077,BIGRID
89478f4c-52f8-42a5-888c-8fc6a8a755b7,BIGRID
92ec06a8-5f36-432b-9836-38a4dc3295ec,BIGRID
2676b6cf-d42f-4038-8948-4909ca652975,BIGRID
817f7b48-f17c-40dc-a883-86f50a1b3cda,BIGRID
932b3b16-2f9c-4310-90da-d1329358562e,BIGRID
7988d926-57ad-4f61-b137-d7d19079b07d,BIGRID
cbb141bd-5156-4b5a-b6f6-f8e88d9e6c43,BIGRID
c19facec-1cb5-4072-9bf1-44b0be485e7b,BIGRID
164cdb61-6cdc-4879-8d08-56438f93bf26,BIGRID
13ed814b-cee6-4444-a557-30423add5935,BIGRID
2e1b9796-8be0-4987-b96d-713a89240a8e,BIGRID
1ddbf126-5fcf-4b7f-93f6-451e77a7d4a8,BIGRID
f51f043b-acd5-4ee1-86d1-5b49cd639e9b,BIGRID
def8e273-881c-44dc-bace-c5c49b2df97f,BIGRID
4545ccb4-c241-4b7c-b409-19f0bbfe4146,BIGRID
b3fca3d1-4deb-4455-b667-c4a6ee8c7aea,BIGRID
1328d5f7-a88a-4dc1-a03e-dbaadc698545,BIGRID
99a95f85-e05c-4c2c-9c12-6a6ab444529b,BIGRID
0443c975-8238-4dd3-856f-4c2f7d8a8bef,BIGRID
b73a13bb-b044-42bf-875d-ec4915aea84f,BIGRID
e064a871-5f8d-4928-89a4-e3b8e3a286b3,BIGRID
edf55729-17f6-49bf-bedc-b659fbda16aa,BIGRID
8b2e801e-52b2-4ab9-b9f8-7d70ce50184d,BIGRID
35544ec5-76c9-4455-8027-e471da8e95ff,BIGRID
7e947ed4-92c1-48e5-a0f2-be3f099e5af7,BIGRID
2d0b0cb2-19f3-42e9-8c76-712fec3c70f9,BIGRID
e762a563-c1c7-4236-828c-6278a8b5d686,BIGRID
bc3ac9fd-3505-4eaa-9aa8-561d4ad928d5,BIGRID
58c93562-248a-4ea1-86d5-b8ee53590d85,BIGRID
24fbceed-5e4a-4f71-8059-b481faeed0cc,BIGRID
07960941-e179-4ee9-b850-cb31a6161c64,BIGRID
244ddbeb-a3ef-4756-9e70-485297fa1a3e,BIGRID
51f5ba9e-8592-4d54-94b5-bbcecc658cbb,BIGRID
1ccdd18f-6c19-437c-bc1a-062b1654cea6,BIGRID
df20ad42-a632-41e2-aa5f-3c8d982095c9,BIGRID
f630566c-c06f-47cd-9bdc-17314b88d801,BIGRID
4df9fa50-94a3-4aed-a4f7-27c4cf2bf1dd,BIGRID
b6220817-93ca-4300-8e14-729c81a18d74,BIGRID
043a44fc-f89c-44ad-8953-fa4c01262368,BIGRID
81e11bcb-4bf7-441e-9f72-4e1ebc882607,BIGRID
fffb30b8-00eb-4f69-839b-548e3b518a09,BIGRID
4b681dca-8c67-4f13-816e-a8f6e38a758a,BIGRID
1060be1f-db5f-4cdd-a048-bdb7d9f10d15,BIGRID
b8713760-ca72-46e1-86dc-f85284c74f87,BIGRID
59ca4053-8bc2-4e5f-b05e-dcc1dc5aac5f,BIGRID
2dc4ca8d-6064-4f0f-a039-46be509b4819,BIGRID
451385f4-0559-40be-a44b-2a0e92153504,BIGRID
7f55020d-107e-44ac-a6bb-8f57fd62d9a8,BIGRID
605b5535-4c31-481c-9e1f-286f7cc511e0,BIGRID
c10cd9db-fff4-4fc6-a9a8-d2e77d574014,BIGRID
b959db00-cff6-452a-9fad-0974c9253b62,BIGRID
fa69ee4d-c69f-4ce6-8e08-8f91c5fdeccf,BIGRID
1fd53c47-b1fc-4d9c-af0d-d5a1d7b5de35,BIGRID
05328498-cb60-42d1-9c9b-b3d6e1b5e6e5,BIGRID
daaa6be9-2aef-4051-bce8-bb0687852fa0,BIGRID
a3b637c8-8ca5-40f4-9a0c-cbbfd37a2216,BIGRID
2321eb8c-e1b2-4f34-919b-206a62ad7aad,BIGRID
60881fe2-ed12-4c4e-bc83-5c08ae9ef82c,BIGRID
9a75a80d-1cb6-4e1a-a0b3-5de9dff7bece,BIGRID
0a16eab4-94db-45c5-a6f9-80db82258d6f,BIGRID
21ef3aba-33aa-4365-a3bf-a7a9168ee8db,BIGRID
4fa23ab5-922b-46f0-9d47-1a25811f0dd5,BIGRID
2f0b1dd5-54ca-441c-8012-07c688bf2ea1,BIGRID
daba1c0c-faae-4ab6-96cb-bab4482dcb61,BIGRID
d3fa694f-06f5-4026-aca7-3962b640ad97,BIGRID
9e9692d4-9b9e-4362-8890-6971b6ae6e08,BIGRID
b2fd3c07-894f-494f-950d-800534988fc9,BIGRID
da8a148a-b6ee-4dc7-aafb-f0556519845c,BIGRID
f414f6d1-ac6a-48b5-92b0-6adbe767b4c7,BIGRID
ba3e4be8-1e60-4eab-bf48-dff6ebb150e2,BIGRID
9b8d0bf6-49b6-41f7-8679-6cdcee0dc94e,BIGRID
6de6d933-f41e-4b83-88ea-3ffc8dbd81c3,BIGRID
ff64fbdd-59db-438f-bc4d-2376d8a1626f,BIGRID
bab484c1-fc7f-4ee8-81ad-c0a63e86fdfe,BIGRID
48dc26f0-f14f-496f-a0fa-3b579db7c618,BIGRID
8fcbb5b0-1c0f-4715-b92c-87978e3550e2,BIGRID
f1fac87b-2de9-4e93-87d2-064a31b40c2d,BIGRID
e9d7d76f-d991-4468-bbd8-8559f5ecc48b,BIGRID
88b93aaf-5cfb-44b1-b8b6-d632d72e117c,BIGRID
6efb7991-cf88-499d-bcca-01ccca0522cd,BIGRID
81e8ecc1-9a23-4d72-9e71-0ec915769586,BIGRID
bbb997c5-3ac5-43bc-a467-8a9b4ceec2f1,BIGRID
10f59fa1-ed86-49e8-94fa-1dca4426079e,BIGRID
92994f36-018c-4d8e-bf63-b750f2eb439a,BIGRID
9b14ef8e-37c3-4cd6-b46b-2752830db645,BIGRID
83b7a806-2405-4bb5-8399-af5919763b86,BIGRID
091d2ed7-2039-4a65-8d06-ba28ebee7d88,BIGRID
40e23240-c02e-48da-aa24-a9401e55e946,BIGRID
6b47019f-75da-4841-8bb9-469f97460c6e,BIGRID
3066d8a7-2d22-4f65-99b1-ae01cdeb8c76,BIGRID
94feec49-9cf6-45cd-9dce-bf556d5f9a66,BIGRID
f7aa5404-2315-4dc7-9f6b-b7fce5178f56,BIGRID
024b501f-40a0-4b8a-b74a-5ef1f07b24f4,BIGRID
08266875-2c7f-48e4-81ff-9d982082d164,BIGRID
b5ce62ac-55fd-42ca-9c09-f32fb3514d50,BIGRID
6fcade5b-e787-4415-a65b-402b5d4cc236,BIGRID
9ea11eb5-f7eb-446b-a6d0-b8cc1aec55a0,BIGRID
058816b6-5416-4005-8685-b8cb56be09be,BIGRID
c4f95aca-420d-4911-b11c-8ddda7ef6651,BIGRID
36f7494a-fc5d-49da-b1bb-94ca04e490e8,BIGRID
1c9445b8-d6f2-4960-9a2e-f3383d2e935e,BIGRID
cc9ea227-37f5-424f-a743-50a37b0aa22d,BIGRID
6cd76a50-aae2-4f48-b10d-bf750caeed62,BIGRID
22cbb040-c655-4b72-9e06-2c8f81cb7a9b,BIGRID
8d9b7c2e-7c65-48d1-bb32-14517c60ac3b,BIGRID
685e8354-2e29-4cf3-885c-b92588491190,BIGRID
02131f2b-54b3-41b1-b4c3-19e58b157c7e,BIGRID
bbdf4097-473c-40e5-abed-d439d46f6c43,BIGRID
3f9724a2-e443-45f9-831f-d6519d20f67a,BIGRID
eda8e043-0d65-4b5d-bec8-057ab9831d08,BIGRID
4b7b2dfb-d1c2-4723-91dd-1b8c3f504cc7,BIGRID
c70680bb-9252-48d9-a2d0-6b28139f7d54,BIGRID
d72a8c65-876c-4af8-9e37-a127943f2149,BIGRID
26348243-7d11-4757-b519-cee7a478a590,BIGRID
2e9507c2-cb91-4603-8346-73c1de112371,BIGRID
d544fc0b-786b-4971-8e9b-3d291522838f,BIGRID
30ff60ee-3c0f-455e-b9eb-080bdf749239,BIGRID
365a1460-f031-4155-8126-d3512fa75ef7,BIGRID
a731af15-a0de-4f75-985f-2cdc508ecb43,BIGRID
455ebaa9-a919-4902-9095-2dc8d942c023,BIGRID
c2452bbd-dfd8-4b16-986c-b1b905cacfb4,BIGRID
dc8b2851-4eef-4ddc-9fc5-c606406d69b4,BIGRID
479046ca-3e13-4ddb-8b4c-9c13fcc04e4e,BIGRID
d2abd9be-84e9-4aba-be64-7217a5c0edc4,BIGRID
d61300aa-29d5-49b4-9a09-4f62fb85764f,BIGRID
6750a073-b295-4a01-89d8-2987c1331edf,BIGRID
7b6e8566-caa6-4adc-acad-93d554810422,BIGRID
79289c1d-2633-4789-974a-d0f5d8788e4f,BIGRID
53ff94dd-edc2-4d27-b43d-5da1c16b9a0b,BIGRID
c7ada225-3ad4-4fa8-87a0-d2bc8819a0a9,BIGRID
919bed05-4936-4047-8fbf-7f47b96acdd3,BIGRID
abea67d2-6842-4833-84ba-f2aa20198a2f,BIGRID
e0847eea-8ced-4304-a838-97ed432e04c5,BIGRID
0e5d6fc4-3bc6-4297-a0e0-a6948e0b1b75,BIGRID
cbf0114e-565c-4e03-803d-ae07010f2831,BIGRID
8225399b-9231-4e6a-a232-fb49e9cada5b,BIGRID
264bc9db-5beb-42da-bcf7-fd900edbc07e,BIGRID
c64c09b8-4462-4a6c-afee-295a89c22f00,BIGRID
119c27f1-8cda-4316-9006-bd431817f661,BIGRID
8d8a7925-3a77-4a23-bc29-60144f6d04d9,BIGRID
5edb30c1-6b1c-4ef0-9dbe-e3e297d752fa,BIGRID
393e7745-a85d-4982-b7e2-b2f6b8dacfd8,BIGRID
1b36a040-3577-4456-8b36-1c32ba0b67ae,BIGRID
623ed22a-6519-40da-b3d1-8f37a201d64b,BIGRID
61acf1e8-12b5-404f-9e03-3734f36545e7,BIGRID
fbe8f0f8-0fc2-4817-adee-750e13e4df4a,BIGRID
810cbd49-8fcd-4056-9db0-8320c8b92e51,BIGRID
a4cd4d48-8a25-43a7-b29a-4753d168a7b0,BIGRID
ba02969e-02f6-43e1-bd62-5f40541b0ee8,BIGRID
4b9c10c1-c399-4c16-a8c7-9dd9417b2fb0,BIGRID
5f1cf8c5-2182-437a-ae30-d0adceedf0f7,BIGRID
693dcba8-798c-4556-bb18-b361b888bd0f,BIGRID
4097a054-0d71-4126-ac83-3a7b8cff8383,BIGRID
dc98cb92-16cd-4fab-87bf-24a1ec4311e8,BIGRID
7985e582-5d62-4111-854d-cf214a3d2435,BIGRID
6e28ef82-47d4-49bb-bd10-4232af54e902,BIGRID
38c16724-6a14-4b98-ad30-c5fe1a4dafcf,BIGRID
3ea134fd-bdee-4543-a264-5793c14deb15,BIGRID
41395592-1dd5-46a0-a79a-19136eda2325,BIGRID
025eb530-e253-4321-8b58-014e85cba6a4,BIGRID
7ff6c9aa-1c20-48a7-bae6-1894fda50d21,BIGRID
727dcbe9-d446-4729-a624-8b8a12a4f160,BIGRID
091ee8bb-6d4f-4d75-a4e2-153596d71e69,BIGRID
13fc1357-104a-4833-abde-3c6c3f58e3b1,BIGRID
c9a40ccb-c00b-4e84-88e9-02c293e5294e,BIGRID
b633e9a1-8dec-45c5-940f-df07eaa141cb,BIGRID
a936feb0-ea80-48e8-a531-a444bbbf4a70,BIGRID
ea16fa48-3351-44a5-9f3b-9fdcaef16e58,BIGRID
d92e6cb4-3a76-4b9d-837c-5673603cdfe6,BIGRID
f46570ec-1d6d-4e78-9eca-9d0bb57ed015,BIGRID
052a6a5d-6264-4b4b-9848-b4bd4a9c7571,BIGRID
75c6a6ff-7ed0-4b5d-b6ef-3de82b0b9849,BIGRID
7b830701-f768-4d00-9b74-96b27e8db222,BIGRID
42b67b80-4674-42ef-a5d1-f94873724c1e,BIGRID
a88635d2-80db-4d84-9fc4-6ba8129f62f2,BIGRID
6b8ecc5f-68f1-4b79-9b4a-af352848dc67,BIGRID
41fc33e2-1115-4164-8b24-e4ac4f8c05f3,BIGRID
4bea6a29-74a9-4715-a3cf-12d748341f52,BIGRID
7714100a-d53e-4f32-84f1-277fe43f2206,BIGRID
cb5c6a8a-7285-4493-b297-7b5787ddd55f,BIGRID
35c36e9b-2374-48b2-b66f-768a359897f0,BIGRID
5b37c1c3-278e-4239-902a-2ad044b79000,BIGRID
9d773716-904b-48f0-a390-e09e2fe79613,BIGRID
4aa528c1-bbac-4ad7-8695-2979855f9c1e,BIGRID
892a6adc-cce8-4f5d-9903-417a8403fd88,BIGRID
ce9e2cf3-aa8c-4e7d-90a3-9c871ad397f3,BIGRID
4592f705-f0f0-4a8d-9d77-f67821374b33,BIGRID
8eab26b7-ab88-4f53-a8f8-32ae38038d34,BIGRID
bf967ea5-546a-46e7-8148-d23c55f3f66b,BIGRID
53a1e1b7-3bcd-473f-b2e4-49511271fd7c,BIGRID
bee6ff1d-09b8-4cf8-8b03-32f1e8ed7bf8,BIGRID
55977902-dce5-4d60-8ada-4d691d9a36f2,BIGRID
42a38f55-e9e4-442c-9c08-8ebe2a58b77d,BIGRID
d6fcad9b-8276-4a74-b025-ddd84ca67d35,BIGRID
aa91537f-58fc-44c5-8518-2d4b9f2bfe70,BIGRID
19d48c29-6b43-48be-8cc5-8b1fcaf439c1,BIGRID
5ed64097-b04d-4d9a-857b-30f7ef2f1b55,BIGRID
c969188c-e071-4d48-9332-a7f9d7048892,BIGRID
d16ade98-581f-4a81-b967-ded3f1b94904,BIGRID
9d6b4c7a-7c1e-4f09-a0d4-f75371897ee5,BIGRID
d030c783-e8a7-4cab-8c91-884ef5f3ba94,BIGRID
1f71a658-1979-4b42-bf38-74ca5e7399a3,BIGRID
0d60158b-74cf-41ee-9d0a-14aaaf548102,BIGRID
9b0dab21-9ad9-42e5-880d-1ded08e7e61b,BIGRID
7ce28520-7fff-4224-b9c4-d3de767f9d12,BIGRID
090103cc-b629-4ced-a8d4-e58a6b904bfa,BIGRID
0be190fa-8c51-44ed-bd0e-377ba4a51e73,BIGRID
699e0242-3bc5-474c-9608-42c455057db1,BIGRID
ee4b3afe-2907-4b1b-9564-e0a5b52b3d7b,BIGRID
66c0be6a-4260-4335-a98b-768059f0c8b3,BIGRID
eb66a288-1968-4bb4-a92e-a78b693ce77a,BIGRID
865cd5be-2597-4fb8-af75-440261e2efcc,BIGRID
f678e054-9dde-4922-aec2-3f737b7d0e66,BIGRID
02dc3448-5795-4d04-a535-049dc14ccf3c,BIGRID
1533218a-3999-493e-aa59-57afcfd6e2c4,BIGRID
8be9a59b-e1ab-4d43-903c-5159e1bbbc8b,BIGRID
b889aeb0-dd0b-41b7-8f60-5bd7be9a3bfe,BIGRID
8f343e42-a369-433d-963a-162306092a5b,BIGRID
ca894420-9ccd-4136-97da-2b02bc17bd12,BIGRID
3ca77d55-0b63-4a21-ae25-5bc169a3a137,BIGRID
aac9686d-adce-4e4a-9b97-0af9413f90e4,BIGRID
cdad8bd5-e077-4b23-b3cf-a492fe84f66b,BIGRID
c7947368-721f-43a4-861f-709e817b9014,BIGRID
2f982e01-1ce0-4b58-86c9-e173dd7383a2,BIGRID
a445e3a7-6642-4ade-89ff-4af1a2282ed0,BIGRID
1cc537ac-1451-4ccf-90c5-44bd08ac3e06,BIGRID
4af05051-2b83-4855-b234-8c3eb0306af4,BIGRID
b5fbc0cf-8c16-40b8-9d86-7ca90c38fa8f,BIGRID
bb0903c3-49ed-4218-8543-920532c2eafe,BIGRID
